"Weather_Condition","Road_Type","Road_Condition","Time_of_Day","Traffic_Density","Speed_Limit","Visibility","Acceleration_Events","Braking_Events","Steering_Input","Driver_Fatigue_Level","Distraction_Events","Speed","Lane_Departure_Events","Adaptive_Cruise_Control_Activation","Driver_Age","Driving_Experience","Vehicle_Type","Vehicle_Age","Accident_Occurrence","Near_Miss_Events","Intervention_Needed","Intervention_Level"
"Clear","Highway","Wet","Morning",1,80,923,2,10,1,8,2,86.83021379,2,0,24,23,"Sedan",14,0,0,"Yes","Mild"
"Clear","Urban Road","Dry","Evening",2,80,596,2,6,1,2,4,59.79075738,2,1,35,1,"SUV",4,0,0,"No","No"
"Clear","Urban Road","Wet","Afternoon",3,70,91,1,4,-1,3,0,51.58777927,1,0,49,19,"Sedan",1,0,0,"No","No"
"Heavy Rain","Highway","Dry","Evening",3,80,341,10,8,0,9,3,67.99491844,3,0,30,23,"Truck",6,1,3,"Yes","Mild"
"Rain","Urban Road","Dry","Evening",1,40,553,8,2,-5,6,4,85.55062436,0,0,18,2,"Sedan",13,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",3,80,895,3,0,9,8,5,60.46398935,0,0,53,9,"Truck",12,0,0,"No","No"
"Rain","Urban Road","Wet","Morning",3,110,471,3,10,-6,4,1,75.76393298,1,1,57,4,"SUV",0,0,0,"No","No"
"Clear","Highway","Wet","Morning",2,40,769,3,3,-2,8,1,84.27662495,0,1,53,23,"Sedan",8,1,3,"Yes","Mild"
"Rain","Urban Road","Wet","Evening",3,70,573,7,3,-1,1,0,82.10374709,3,1,59,12,"SUV",0,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Night",3,40,432,0,4,-6,7,1,77.93929265,2,1,43,1,"SUV",13,0,0,"Yes","Mild"
"Rain","Highway","Wet","Afternoon",1,50,316,2,3,-8,3,1,79.58209651,2,1,50,5,"Sedan",15,1,1,"No","No"
"Clear","Urban Road","Wet","Night",2,100,933,5,6,-4,5,1,96.49367219,0,0,47,24,"SUV",3,1,3,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",3,50,253,4,7,-9,9,3,39.35022527,1,0,18,24,"Truck",8,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Dry","Evening",3,70,538,9,3,10,7,3,67.99750379,1,1,32,31,"Sedan",6,0,0,"Yes","Mild"
"Clear","Highway","Dry","Night",2,100,722,5,5,-2,9,2,50.56940664,3,0,36,4,"Truck",5,0,0,"Yes","Strong"
"Heavy Rain","Rural Road","Dry","Morning",3,50,849,4,1,-2,10,0,35.09800456,2,0,32,6,"SUV",9,1,6,"Yes","Mild"
"Rain","Urban Road","Wet","Evening",1,40,170,4,13,-4,4,2,71.03880372,1,0,41,7,"Truck",3,0,0,"No","No"
"Clear","Urban Road","Wet","Morning",1,100,414,10,7,-9,8,3,67.30996839,0,0,18,17,"SUV",5,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Dry","Night",3,100,427,4,3,4,8,6,88.36254167,3,1,18,7,"SUV",1,1,4,"Yes","Strong"
"Clear","Urban Road","Wet","Morning",3,50,241,3,10,10,3,3,69.64433383,2,0,59,28,"Sedan",5,0,0,"No","No"
"Clear","Highway","Dry","Evening",3,60,105,3,3,9,8,4,56.64110062,2,1,29,9,"Sedan",7,1,3,"Yes","Mild"
"Rain","Urban Road","Dry","Morning",3,90,202,7,0,5,9,3,90.38377468,0,0,61,5,"SUV",5,1,3,"Yes","Mild"
"Heavy Rain","Urban Road","Wet","Morning",1,40,638,10,9,0,0,6,91.86832898,3,0,55,11,"Truck",11,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",1,100,646,4,10,5,9,1,49.14257111,3,1,30,19,"Sedan",15,0,0,"Yes","Strong"
"Clear","Urban Road","Dry","Morning",2,60,245,0,0,-7,9,0,99.05381305,3,1,40,17,"Sedan",8,0,0,"Yes","Strong"
"Heavy Rain","Highway","Dry","Night",1,120,866,2,2,0,7,1,95.72386714,1,1,70,2,"Sedan",2,0,0,"Yes","Mild"
"Clear","Rural Road","Dry","Afternoon",3,110,762,10,11,10,4,2,62.14713415,2,1,35,14,"Truck",13,0,0,"No","No"
"Heavy Rain","Urban Road","Dry","Evening",2,120,156,5,4,-10,5,5,74.77624666,2,0,37,14,"Sedan",14,0,0,"No","No"
"Rain","Highway","Wet","Afternoon",2,40,140,1,10,11,6,2,72.18731701,4,0,45,1,"Truck",6,1,4,"Yes","Strong"
"Clear","Highway","Wet","Evening",2,100,170,5,10,9,9,3,9.744802247,1,1,50,24,"Sedan",9,0,0,"Yes","Strong"
"Rain","Urban Road","Wet","Morning",1,90,794,4,12,10,4,6,61.41925632,4,0,49,27,"Truck",6,0,0,"No","No"
"Clear","Rural Road","Dry","Morning",3,70,651,2,0,-8,2,3,64.80539929,3,1,54,12,"Sedan",8,0,0,"No","No"
"Clear","Rural Road","Wet","Morning",1,110,341,3,9,6,8,4,86.98438796,0,1,25,2,"SUV",9,1,6,"Yes","Mild"
"Heavy Rain","Highway","Dry","Evening",2,110,798,10,5,9,7,2,77.02992428,3,0,29,12,"Truck",5,0,0,"Yes","Mild"
"Clear","Urban Road","Wet","Evening",3,70,968,9,10,-6,3,3,44.14169673,0,1,62,16,"SUV",4,0,0,"No","No"
"Rain","Highway","Dry","Afternoon",1,50,438,7,9,4,3,1,60.61124883,0,1,28,13,"Sedan",7,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",3,50,407,7,2,-3,9,1,42.27273522,1,1,18,1,"Sedan",5,0,0,"Yes","Mild"
"Clear","Highway","Dry","Morning",3,70,496,5,8,-2,4,4,79.64973327,0,0,18,1,"Truck",11,1,2,"No","No"
"Heavy Rain","Highway","Wet","Night",2,60,439,6,0,-3,4,5,73.1914462,1,1,33,1,"SUV",5,0,0,"No","No"
"Clear","Rural Road","Wet","Night",3,40,626,4,12,-8,3,0,77.74079917,0,0,39,22,"Truck",14,0,0,"No","No"
"Rain","Highway","Dry","Morning",1,100,437,5,10,3,5,4,45.17051331,4,1,42,16,"Truck",8,0,0,"No","No"
"Clear","Urban Road","Wet","Morning",2,50,508,6,2,4,8,4,70.17298674,1,1,27,21,"Sedan",5,1,4,"Yes","Mild"
"Heavy Rain","Highway","Wet","Evening",3,90,334,3,6,-10,2,4,85.1662127,0,0,18,15,"Sedan",6,1,6,"No","No"
"Clear","Highway","Dry","Evening",3,60,874,4,7,-10,7,3,97.83508592,3,1,18,21,"SUV",12,1,1,"No","No"
"Heavy Rain","Urban Road","Wet","Evening",2,100,831,3,7,-1,6,1,73.02264344,2,1,44,16,"Truck",10,0,0,"No","No"
"Rain","Urban Road","Dry","Afternoon",1,100,259,4,1,3,6,4,58.22824842,1,1,22,16,"SUV",14,1,5,"Yes","Strong"
"Heavy Rain","Urban Road","Wet","Afternoon",3,110,947,1,0,-5,8,0,63.48482139,4,0,45,5,"Truck",15,0,0,"No","No"
"Rain","Urban Road","Dry","Evening",2,50,596,4,7,9,10,0,60.49554039,2,0,51,7,"SUV",7,1,1,"Yes","Strong"
"Rain","Rural Road","Dry","Evening",3,70,941,3,8,-9,9,4,77.79288831,0,0,31,23,"SUV",5,1,1,"Yes","Mild"
"Heavy Rain","Rural Road","Wet","Afternoon",2,40,680,3,2,7,10,4,52.27989593,1,0,60,32,"Sedan",5,0,0,"Yes","Mild"
"Rain","Rural Road","Wet","Afternoon",2,60,232,2,1,-1,1,3,63.92242796,1,1,30,18,"SUV",11,0,0,"No","No"
"Rain","Urban Road","Wet","Afternoon",1,30,82,10,8,-3,4,0,59.77459764,1,0,51,4,"SUV",5,0,0,"No","No"
"Heavy Rain","Highway","Dry","Night",3,60,331,1,8,-2,5,2,107.102922,3,0,38,26,"SUV",1,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",2,80,404,9,0,-8,5,4,54.9829341,2,1,48,26,"Sedan",8,0,0,"No","No"
"Clear","Rural Road","Dry","Morning",3,120,323,5,2,-9,2,6,84.74219632,2,0,34,1,"Truck",15,0,0,"No","No"
"Rain","Highway","Wet","Evening",2,50,995,2,0,10,8,5,76.78630565,2,1,51,20,"Sedan",2,0,0,"Yes","Mild"
"Rain","Rural Road","Dry","Evening",2,80,371,6,10,4,0,5,65.37731745,0,0,36,19,"Sedan",13,0,0,"No","No"
"Clear","Urban Road","Dry","Afternoon",1,80,171,3,9,9,8,5,83.52944221,3,0,18,27,"Truck",11,0,0,"Yes","Mild"
"Rain","Urban Road","Wet","Afternoon",2,100,115,3,5,1,1,5,74.4601565,2,0,59,3,"Sedan",14,0,0,"No","No"
"Clear","Urban Road","Wet","Morning",3,120,155,6,4,-5,2,0,35.6823607,0,1,49,6,"Sedan",1,0,0,"No","No"
"Clear","Urban Road","Wet","Night",2,70,850,4,5,-1,1,0,78.61415538,0,0,36,17,"Sedan",13,0,0,"No","No"
"Rain","Highway","Wet","Morning",1,50,118,3,2,2,5,1,57.78432611,0,1,53,24,"SUV",8,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Evening",2,100,535,8,0,4,4,1,73.65120379,2,0,68,30,"Truck",14,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Night",3,70,771,0,2,-1,2,4,71.23693865,3,1,70,16,"Truck",11,1,2,"No","No"
"Clear","Rural Road","Dry","Morning",3,50,575,9,10,10,9,4,49.05751125,3,1,36,16,"SUV",9,1,4,"Yes","Strong"
"Rain","Rural Road","Dry","Evening",3,90,548,4,4,2,0,5,89.97440363,3,0,66,19,"SUV",12,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",1,50,58,8,8,-9,5,6,47.6350309,1,0,56,1,"Sedan",13,1,7,"No","No"
"Rain","Rural Road","Wet","Evening",2,70,749,3,7,5,3,4,50.94774627,1,1,49,13,"Sedan",2,0,0,"No","No"
"Clear","Rural Road","Dry","Night",3,60,596,9,6,-8,0,4,102.8401248,2,1,62,27,"SUV",0,0,0,"No","No"
"Heavy Rain","Highway","Wet","Afternoon",1,30,796,4,12,-2,8,0,77.01043034,1,0,31,27,"Truck",0,1,4,"No","No"
"Heavy Rain","Rural Road","Dry","Evening",3,110,646,5,5,12,8,0,75.37852652,2,0,18,27,"Truck",15,0,0,"No","No"
"Rain","Rural Road","Wet","Night",1,80,382,2,7,-5,1,2,50.88198461,0,1,21,25,"Truck",10,1,4,"No","No"
"Heavy Rain","Rural Road","Dry","Evening",3,40,469,0,0,2,4,2,88.37936943,0,0,53,4,"SUV",0,1,3,"No","No"
"Clear","Rural Road","Wet","Evening",1,60,643,5,10,7,10,0,66.90963969,3,0,39,18,"Sedan",4,1,4,"Yes","Strong"
"Rain","Highway","Wet","Night",1,60,125,8,0,-6,10,2,56.96677699,0,0,49,25,"SUV",1,0,0,"Yes","Mild"
"Rain","Urban Road","Wet","Night",2,30,868,3,3,-8,4,3,58.17699347,0,0,50,16,"SUV",6,0,0,"No","No"
"Heavy Rain","Highway","Dry","Evening",1,100,493,0,9,-5,6,5,76.036726,4,0,42,1,"Truck",3,0,0,"Yes","Strong"
"Rain","Urban Road","Dry","Night",1,60,719,5,7,8,0,1,59.89757243,2,0,60,17,"Sedan",8,1,3,"No","No"
"Clear","Urban Road","Wet","Night",3,120,330,4,4,-6,3,2,64.37503492,1,0,60,8,"Truck",12,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",2,40,732,2,12,12,6,0,90.30077207,3,0,63,1,"Truck",12,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Afternoon",1,40,939,0,0,6,7,2,65.44711729,0,0,35,22,"Sedan",11,1,5,"Yes","Strong"
"Heavy Rain","Rural Road","Dry","Morning",1,110,509,5,2,8,2,1,53.03744149,3,1,31,13,"Sedan",2,0,0,"No","No"
"Rain","Urban Road","Wet","Night",1,30,631,10,6,5,1,1,49.31381992,3,1,30,20,"Truck",1,0,0,"No","No"
"Rain","Urban Road","Wet","Evening",1,80,709,7,10,4,8,3,36.16468925,3,1,33,9,"Truck",14,0,0,"Yes","Strong"
"Heavy Rain","Rural Road","Wet","Afternoon",2,90,611,4,8,9,5,2,49.47983933,3,1,51,7,"SUV",7,0,0,"No","No"
"Clear","Rural Road","Wet","Night",3,120,798,5,8,-3,1,0,31.97878308,2,0,26,42,"Truck",2,0,0,"No","No"
"Clear","Rural Road","Dry","Afternoon",1,90,605,3,4,-7,4,1,109.1003559,1,1,34,19,"Truck",1,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Evening",2,120,601,3,2,-6,3,0,80.82464612,0,0,38,13,"SUV",4,0,0,"No","No"
"Rain","Urban Road","Wet","Evening",1,80,590,10,0,-8,2,3,75.13800582,3,1,46,27,"SUV",0,0,0,"No","No"
"Rain","Urban Road","Wet","Afternoon",1,60,493,0,3,12,3,4,62.80167669,3,0,45,33,"Truck",8,0,0,"No","No"
"Rain","Highway","Dry","Evening",1,60,913,4,9,2,4,0,46.62006666,3,1,52,5,"Sedan",15,1,3,"No","No"
"Rain","Urban Road","Wet","Morning",3,80,196,4,7,7,0,3,58.84018603,0,1,70,12,"Sedan",6,0,0,"No","No"
"Rain","Urban Road","Wet","Afternoon",3,50,491,7,9,-4,7,0,48.19831703,0,1,40,16,"Sedan",4,0,0,"Yes","Mild"
"Rain","Highway","Dry","Evening",1,80,293,6,4,6,9,2,70.06956323,0,0,38,15,"Sedan",8,0,0,"Yes","Strong"
"Heavy Rain","Rural Road","Dry","Night",3,80,807,0,1,4,4,3,99.46295921,0,1,18,30,"SUV",11,1,1,"No","No"
"Rain","Urban Road","Dry","Afternoon",2,50,610,9,8,-6,2,5,71.88167345,1,0,18,5,"Sedan",8,1,2,"No","No"
"Clear","Rural Road","Dry","Afternoon",1,40,634,10,6,-4,7,4,70.13413008,3,1,58,19,"Sedan",7,0,0,"No","No"
"Rain","Rural Road","Wet","Night",1,70,64,6,3,-5,1,0,66.28907957,1,1,37,2,"Truck",10,1,1,"No","No"
"Rain","Rural Road","Dry","Morning",1,50,454,6,7,7,4,2,73.54201942,0,1,48,20,"Sedan",1,0,0,"No","No"
"Rain","Highway","Dry","Night",1,90,159,7,10,-2,1,2,45.48630892,0,0,53,22,"SUV",12,1,3,"No","No"
"Heavy Rain","Urban Road","Dry","Morning",3,50,133,1,0,6,9,1,93.6089371,3,0,26,10,"SUV",5,0,0,"Yes","Strong"
"Rain","Highway","Dry","Morning",1,100,536,10,5,10,2,5,85.18907951,2,0,18,17,"Truck",2,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Evening",3,60,270,2,6,-2,7,4,106.003421,4,1,40,5,"Truck",10,0,0,"No","No"
"Rain","Highway","Wet","Morning",2,100,439,1,4,-7,7,4,100.6164546,0,0,49,12,"Truck",14,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Afternoon",1,120,612,9,1,1,7,1,60.75782566,3,1,33,17,"Truck",13,0,0,"Yes","Strong"
"Clear","Rural Road","Wet","Night",1,90,593,8,2,-6,8,0,72.80855845,2,0,31,3,"Sedan",3,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Dry","Evening",1,60,428,1,7,-7,4,2,60.61469447,2,0,47,14,"Sedan",3,0,0,"No","No"
"Heavy Rain","Highway","Wet","Evening",3,100,663,8,4,1,4,0,53.97014374,0,0,33,11,"SUV",13,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",2,90,975,4,8,0,10,3,100.0847647,0,0,37,12,"SUV",7,0,0,"Yes","Mild"
"Clear","Highway","Dry","Morning",1,50,236,7,10,-5,10,4,77.30107993,3,1,45,2,"SUV",13,0,0,"Yes","Strong"
"Heavy Rain","Highway","Wet","Afternoon",3,40,860,3,3,2,10,1,75.08820645,1,1,45,38,"Truck",14,0,0,"Yes","Mild"
"Heavy Rain","Highway","Dry","Evening",3,40,103,0,1,-4,9,0,67.73640897,3,0,43,3,"SUV",6,0,0,"Yes","Strong"
"Rain","Highway","Dry","Morning",1,70,517,2,10,6,7,2,71.64031559,0,0,45,23,"SUV",7,0,0,"No","No"
"Rain","Urban Road","Wet","Afternoon",3,60,817,1,4,-5,4,5,46.82269817,2,0,68,21,"Truck",5,0,0,"No","No"
"Rain","Urban Road","Dry","Evening",2,60,878,2,6,4,5,2,41.85458376,2,0,50,24,"Sedan",2,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Morning",3,110,815,10,10,11,10,3,22.26375942,3,0,36,4,"Truck",4,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Wet","Morning",1,80,249,2,9,4,8,3,55.43066941,1,0,52,1,"Sedan",3,1,4,"Yes","Mild"
"Heavy Rain","Highway","Wet","Afternoon",3,80,612,2,2,8,10,0,59.38456123,2,0,33,10,"Sedan",3,0,0,"Yes","Strong"
"Rain","Rural Road","Wet","Morning",2,60,478,10,7,5,3,0,68.70241213,1,1,28,22,"Truck",11,0,0,"No","No"
"Clear","Rural Road","Dry","Evening",2,80,806,2,9,7,10,6,79.93585281,1,0,38,3,"Truck",3,1,2,"Yes","Mild"
"Rain","Urban Road","Dry","Afternoon",3,40,56,0,2,-4,1,3,67.89774736,2,1,68,17,"Sedan",7,1,2,"No","No"
"Clear","Highway","Wet","Afternoon",2,50,528,5,4,8,0,1,55.82285071,0,1,22,19,"Truck",11,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",3,80,88,7,9,-4,8,3,80.3309393,2,0,53,13,"Truck",8,1,0,"No","No"
"Heavy Rain","Highway","Dry","Morning",1,70,686,0,3,7,4,4,43.75125173,2,1,27,7,"Sedan",15,0,0,"No","No"
"Rain","Rural Road","Wet","Evening",1,70,439,4,10,-5,4,0,80.24019256,0,0,33,15,"SUV",13,1,4,"No","No"
"Clear","Rural Road","Dry","Morning",2,60,218,9,2,2,0,4,84.13197027,4,1,32,3,"Truck",13,1,2,"No","No"
"Heavy Rain","Highway","Wet","Night",3,120,623,1,5,-8,2,5,51.48560796,3,1,36,28,"SUV",1,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",2,50,143,2,10,2,1,5,57.49863616,3,1,23,6,"SUV",11,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Afternoon",2,50,54,6,2,9,8,1,66.31114093,3,1,61,9,"SUV",2,0,0,"Yes","Strong"
"Rain","Urban Road","Wet","Afternoon",3,30,871,4,5,-2,6,3,69.66845919,3,1,31,17,"SUV",9,0,0,"No","No"
"Rain","Urban Road","Dry","Morning",3,110,853,1,4,6,7,3,70.88882779,3,0,42,22,"Truck",10,0,0,"No","No"
"Clear","Highway","Wet","Night",2,50,802,6,8,9,10,3,67.42208479,2,1,51,16,"Truck",3,1,1,"Yes","Mild"
"Heavy Rain","Rural Road","Wet","Afternoon",1,100,123,4,6,-9,7,3,28.28680749,1,1,37,13,"SUV",11,0,0,"No","No"
"Rain","Rural Road","Wet","Night",2,90,372,0,3,3,4,3,79.75604095,0,0,29,3,"Truck",15,0,0,"No","No"
"Clear","Rural Road","Wet","Evening",3,30,786,2,4,-6,2,2,99.82942211,3,0,60,12,"Sedan",0,0,0,"No","No"
"Heavy Rain","Highway","Dry","Morning",2,100,579,9,2,-6,3,5,81.45165989,0,0,62,19,"Sedan",2,0,0,"No","No"
"Heavy Rain","Rural Road","Wet","Evening",2,50,297,2,7,-3,4,2,34.9879198,2,0,38,13,"Truck",2,0,0,"No","No"
"Heavy Rain","Urban Road","Wet","Morning",1,100,378,4,7,6,4,3,88.81220611,1,1,18,28,"Sedan",9,0,0,"No","No"
"Clear","Urban Road","Dry","Night",1,60,673,9,5,-3,0,2,46.57478876,0,1,54,7,"SUV",1,0,0,"No","No"
"Rain","Highway","Wet","Evening",1,80,904,9,9,3,4,2,75.09112696,1,1,43,1,"SUV",10,0,0,"No","No"
"Rain","Rural Road","Dry","Afternoon",3,80,98,5,10,-3,1,0,76.63318372,1,1,46,15,"Truck",13,1,3,"No","No"
"Clear","Urban Road","Dry","Night",2,60,649,2,3,-3,3,4,43.42150036,1,1,69,26,"Sedan",3,0,0,"No","No"
"Rain","Rural Road","Dry","Afternoon",3,50,845,7,10,-8,4,5,79.67618866,1,1,29,10,"Truck",6,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Morning",1,60,713,2,7,6,10,0,51.49931125,0,1,46,20,"Truck",13,0,0,"Yes","Mild"
"Heavy Rain","Urban Road","Dry","Evening",2,110,483,8,10,-9,3,0,68.06869737,0,1,41,1,"Truck",11,1,3,"No","No"
"Clear","Highway","Dry","Afternoon",2,100,662,10,0,7,7,0,70.18972449,1,1,18,5,"Sedan",10,0,0,"No","No"
"Rain","Urban Road","Dry","Morning",3,80,396,1,11,-8,8,5,95.9157392,0,0,46,39,"Truck",13,0,0,"Yes","Strong"
"Clear","Highway","Dry","Evening",3,50,155,3,2,3,5,2,89.87220999,0,0,47,21,"Truck",14,0,0,"No","No"
"Rain","Highway","Wet","Evening",1,80,684,8,1,3,0,1,77.54380399,3,0,61,28,"Sedan",11,0,0,"No","No"
"Heavy Rain","Rural Road","Dry","Afternoon",3,60,569,9,4,-10,9,2,73.22993918,2,1,18,2,"Sedan",6,0,0,"Yes","Mild"
"Heavy Rain","Rural Road","Wet","Afternoon",3,50,755,3,4,-10,3,2,57.67487097,3,1,49,10,"SUV",2,0,0,"No","No"
"Clear","Urban Road","Wet","Morning",2,60,688,1,1,6,8,5,34.79359656,2,0,52,11,"SUV",4,1,3,"Yes","Strong"
"Heavy Rain","Highway","Dry","Afternoon",2,40,390,6,6,3,0,2,83.87751397,1,0,61,28,"SUV",2,1,1,"No","No"
"Rain","Rural Road","Dry","Night",1,40,835,3,9,7,6,4,55.90894053,3,1,35,22,"Sedan",4,0,0,"No","No"
"Clear","Urban Road","Wet","Morning",1,40,611,9,3,5,6,5,32.61267444,1,1,49,19,"SUV",2,0,0,"No","No"
"Clear","Rural Road","Wet","Evening",3,110,692,10,4,-1,9,5,99.70773915,2,1,18,15,"Sedan",15,0,0,"Yes","Strong"
"Rain","Urban Road","Dry","Afternoon",2,80,96,0,6,1,6,5,80.50927058,4,0,31,13,"Truck",5,0,0,"Yes","Strong"
"Heavy Rain","Urban Road","Dry","Morning",2,50,701,8,4,-4,4,5,63.11938029,3,0,43,14,"Truck",6,1,3,"No","No"
"Clear","Rural Road","Dry","Afternoon",3,80,727,2,7,-6,3,4,77.76275442,0,0,36,18,"SUV",10,0,0,"No","No"
"Rain","Highway","Wet","Afternoon",2,60,641,1,9,2,10,2,75.86910412,3,1,58,11,"SUV",15,0,0,"Yes","Strong"
"Rain","Highway","Dry","Evening",3,100,506,9,7,0,4,3,44.57897018,3,0,27,37,"Sedan",5,0,0,"No","No"
"Clear","Highway","Dry","Evening",1,100,436,10,6,7,8,2,88.9189029,2,0,39,18,"Truck",7,0,0,"Yes","Strong"
"Rain","Urban Road","Dry","Night",1,60,917,6,9,-5,0,4,110.5431523,0,0,41,10,"Truck",12,0,0,"No","No"
"Clear","Highway","Wet","Evening",3,100,441,3,3,0,2,0,49.27711515,3,0,49,21,"Truck",8,0,0,"No","No"
"Clear","Highway","Dry","Morning",3,80,929,8,8,-3,3,4,85.5375284,2,1,63,15,"Sedan",5,1,2,"No","No"
"Rain","Rural Road","Wet","Night",3,70,89,0,4,-6,1,1,41.47293421,2,0,18,28,"SUV",9,0,0,"No","No"
"Clear","Rural Road","Dry","Night",2,80,476,2,9,9,4,4,82.54877381,4,1,64,18,"Truck",1,0,0,"No","No"
"Heavy Rain","Urban Road","Dry","Afternoon",3,50,537,6,1,4,4,3,63.75187043,2,1,57,16,"Sedan",15,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",2,40,153,8,1,-8,3,4,45.62895876,2,1,67,7,"Sedan",13,0,0,"No","No"
"Clear","Urban Road","Wet","Evening",2,50,864,4,6,2,7,6,58.51316403,2,0,38,27,"SUV",3,1,3,"No","No"
"Rain","Highway","Dry","Evening",3,30,562,7,10,1,8,2,36.37348837,0,0,67,10,"SUV",0,1,6,"Yes","Mild"
"Clear","Highway","Wet","Evening",3,40,349,5,7,-3,2,1,101.0428679,0,0,41,27,"Sedan",8,1,1,"No","No"
"Rain","Rural Road","Dry","Morning",3,60,383,1,1,-3,2,4,83.71521628,3,0,55,19,"Truck",6,1,0,"No","No"
"Clear","Rural Road","Dry","Evening",1,100,858,1,9,-10,8,6,64.29452676,2,1,32,13,"Truck",6,0,0,"No","No"
"Clear","Highway","Dry","Evening",2,100,843,0,1,-10,6,1,70.27360204,3,1,18,9,"Sedan",15,1,4,"Yes","Strong"
"Clear","Urban Road","Dry","Afternoon",2,70,373,4,8,-4,6,0,94.09731745,3,1,63,5,"Sedan",11,1,3,"Yes","Strong"
"Heavy Rain","Highway","Dry","Night",1,50,606,5,7,5,10,3,54.18780783,2,0,51,17,"Sedan",2,0,0,"Yes","Mild"
